IP地址,端口,回源端口,TLS,数据中心,地区,城市,TCP延迟(ms),速度(MB/s)
34.154.232.106,443,443,true,FRA,Europe,Frankfurt,174,11.32
34.91.70.44,443,443,true,FRA,Europe,Frankfurt,172,11.31
34.147.44.191,443,443,true,FRA,Europe,Frankfurt,176,11.30
34.32.181.239,443,443,true,FRA,Europe,Frankfurt,179,11.30
34.32.198.255,443,443,true,FRA,Europe,Frankfurt,175,11.29
34.90.18.246,443,443,true,FRA,Europe,Frankfurt,174,11.28
34.154.193.94,443,443,true,FRA,Europe,Frankfurt,169,11.27
34.65.80.27,443,443,true,FRA,Europe,Frankfurt,173,11.27
34.90.14.1,443,443,true,FRA,Europe,Frankfurt,162,11.26
34.65.255.1,443,443,true,FRA,Europe,Frankfurt,171,11.26
34.65.59.28,443,443,true,FRA,Europe,Frankfurt,167,11.26
34.90.34.13,443,443,true,FRA,Europe,Frankfurt,171,11.26
34.90.34.13,443,443,true,FRA,Europe,Frankfurt,180,11.25
34.32.128.0,443,443,true,FRA,Europe,Frankfurt,168,11.25
34.65.51.214,443,443,true,AMS,Europe,Amsterdam,172,11.23
34.154.245.19,443,443,true,FRA,Europe,Frankfurt,181,11.23
34.91.36.200,443,443,true,FRA,Europe,Frankfurt,178,11.22
34.147.127.185,443,443,true,FRA,Europe,Frankfurt,176,11.22
34.32.130.206,443,443,true,FRA,Europe,Frankfurt,179,11.21
34.65.24.163,443,443,true,FRA,Europe,Frankfurt,173,11.21
34.90.123.76,443,443,true,FRA,Europe,Frankfurt,188,11.20
34.90.19.236,443,443,true,FRA,Europe,Frankfurt,170,11.20
34.65.61.221,443,443,true,FRA,Europe,Frankfurt,174,11.20
34.34.42.7,443,443,true,FRA,Europe,Frankfurt,176,11.20
34.91.160.73,443,443,true,FRA,Europe,Frankfurt,174,11.18
34.65.147.145,443,443,true,FRA,Europe,Frankfurt,175,11.18
34.159.30.28,443,443,true,FRA,Europe,Frankfurt,153,11.18
34.90.18.172,443,443,true,EWR,North America,Newark,177,11.17
34.32.206.100,443,443,true,FRA,Europe,Frankfurt,168,11.17
34.147.33.140,443,443,true,FRA,Europe,Frankfurt,170,11.17
34.89.207.204,443,443,true,FRA,Europe,Frankfurt,165,11.15
34.65.255.1,443,443,true,FRA,Europe,Frankfurt,171,11.14
34.90.18.246,443,443,true,FRA,Europe,Frankfurt,195,11.14
34.154.222.156,443,443,true,FRA,Europe,Frankfurt,174,11.14
34.65.24.163,443,443,true,FRA,Europe,Frankfurt,158,11.14
34.141.162.183,443,443,true,FRA,Europe,Frankfurt,169,11.12
34.65.123.250,443,443,true,FRA,Europe,Frankfurt,170,11.10
34.90.19.236,443,443,true,FRA,Europe,Frankfurt,179,11.10
34.91.231.89,443,443,true,FRA,Europe,Frankfurt,171,11.10
34.90.19.236,443,443,true,FRA,Europe,Frankfurt,182,11.10
34.90.153.175,443,443,true,FRA,Europe,Frankfurt,177,11.09
34.154.115.108,443,443,true,FRA,Europe,Frankfurt,182,11.09
34.105.108.99,443,443,true,SJC,North America,San Jose,156,11.08
34.147.33.140,443,443,true,FRA,Europe,Frankfurt,172,11.07
34.32.170.60,443,443,true,FRA,Europe,Frankfurt,170,11.07
34.154.83.61,443,443,true,FRA,Europe,Frankfurt,193,11.05
35.204.211.172,443,443,true,IAD,North America,Ashburn,173,11.05
34.65.65.83,443,443,true,FRA,Europe,Frankfurt,175,11.05
34.159.121.74,443,443,true,FRA,Europe,Frankfurt,166,11.03
34.91.94.53,443,443,true,FRA,Europe,Frankfurt,176,11.02
34.154.198.46,443,443,true,AMS,Europe,Amsterdam,185,11.02
34.65.208.108,443,443,true,FRA,Europe,Frankfurt,173,11.01
34.32.235.34,443,443,true,FRA,Europe,Frankfurt,170,11.01
34.91.42.66,443,443,true,FRA,Europe,Frankfurt,171,11.01
35.234.170.143,443,443,true,FRA,Europe,Frankfurt,179,11.01
34.65.51.214,443,443,true,AMS,Europe,Amsterdam,174,11.01
34.89.180.110,443,443,true,FRA,Europe,Frankfurt,175,11.01
34.65.61.221,443,443,true,FRA,Europe,Frankfurt,168,11.00
34.90.185.80,443,443,true,FRA,Europe,Frankfurt,184,11.00
34.91.11.74,443,443,true,FRA,Europe,Frankfurt,183,11.00
34.34.59.87,443,443,true,FRA,Europe,Frankfurt,176,11.00
34.32.252.75,443,443,true,FRA,Europe,Frankfurt,176,10.99
34.154.198.9,443,443,true,CDG,Europe,Paris,177,10.99
34.154.46.49,443,443,true,FRA,Europe,Frankfurt,176,10.98
34.91.110.191,443,443,true,FRA,Europe,Frankfurt,215,10.98
34.91.164.135,443,443,true,FRA,Europe,Frankfurt,170,10.98
34.107.107.101,443,443,true,FRA,Europe,Frankfurt,210,10.97
34.90.189.141,443,443,true,FRA,Europe,Frankfurt,193,10.96
34.141.229.56,443,443,true,DFW,North America,Dallas,177,10.96
34.147.31.75,443,443,true,FRA,Europe,Frankfurt,176,10.96
34.154.17.9,443,443,true,CDG,Europe,Paris,166,10.95
34.147.119.30,443,443,true,CDG,Europe,Paris,173,10.95
